id	source	target	collection	langid	scores
22267	Это список суверенных государств и зависимых территорий в Азии .	هذه قائمة بالدول ذات السيادة والأقاليم التابعة في آسيا .	WikiMatrix	ru	70.71067812
15056	U-901 è un sottomarino tedesco .	يو-1 هي غواصة ألمانية .	WikiMatrix	it	66.8740305
14052	Selv om muslimske handlende først rejste til Sydøstasien tidligt i den islamiske æra , går de tidligste beviser på en muslimsk befolkning i Indonesien tilbage til det 13 . århundrede i det nordlige Sumatra .	على الرغم من أن التجار المسلمين قد وصلوا أول مرة إلى جنوب شرق آسيا في وقت مبكر من العصر الإسلامي ، وأقرب دليل على تواجد السكان المسلمين في إندونيسيا يعود إلى القرن الثالث عشر في شمال سومطرة .	WikiMatrix	da	61.56021936
25634	Die israelische Armee zog sich am 29 . Juli zunächst aus dem Gebiet zurück .	أخيرا انسحب الجيش الإسرائيلي من هذه المنطقة في 29 يوليو .	WikiMatrix	de	59.86908498
3127	A omoče prst svůj pravý v tom oleji , kterýž má na ruce své levé , pokropí z něho prstem svým sedmkrát před Hospodinem .	ويغمس الكاهن اصبعه اليمنى في الزيت الذي على كفه اليسرى وينضح من الزيت باصبعه سبع مرات امام الرب .	bible	cs	45.09022805
12898	Όλες οι πτήσεις προς τα Νησιά Ανταμάν και Νικομπάρ διεξάγονται στο Διεθνές Αεροδρόμιο Βιρ Σαβαρκάρ .	جميع الرحلات إلى جزر أندامان ونيكوبار تحط في مطار فير سافاركار الدولي .	WikiMatrix	el	44.53450426
595	и ще те закълна в Господа , Бог на небето и Бог на земята , че няма да вземеш жена за сина ми от дъщерите на ханаанците , между които живея ;	فاستحلفك بالرب اله السماء واله الارض ان لا تأخذ زوجة لابني من بنات الكنعانيين الذين انا ساكن بينهم .	bible	bg	40.56966137
11999	Bir tür sözel olmayan iletişim biçimidir ve sosyal davranış üzerinde büyük etkisi olduğu düşünülmektedir .	هو شكل من الاتصالات اللاشفهية ويعتقد أن له تأثير كبير على السلوك الاجتماعي .	WikiMatrix	tr	39.65384288
4261	Ug ako , ania karon , akong gikuha ang inyong mga igsoon ang mga Levihanon gikan sa taliwala sa mga anak sa Israel : kaninyo sila maoy usa ka gasa nga gihatag ngadto kang Jehova , sa buhat sa pag-alagad sa balong-balong nga pagatiguman .	هانذا قد اخذت اخوتكم اللاويين من بين بني اسرائيل عطية لكم معطين للرب ليخدموا خدمة خيمة الاجتماع .	bible	ceb	36.6588273
5161	Jeg kan betale for din datters behandling .	يمكنني أن أدفع لعلاج ابنتك .	OpenSubtitles	da	32.46679155
